Condition,E2F6,IKZF3,MAX,ZNF274,Timepoint,Replicate
E,7.833895667,,,,D3,R1
I,,0.028915,,,D3,R1
M,,,,,D3,R1
Z,,,,7.848943333,D3,R1
C,15.640104,24.410194,,15.048824,D3,R1
E,6.386397333,,,,D7,R1
I,,5.488248,,,D7,R1
M,,,10.455,,D7,R1
Z,,,,7.461475,D7,R1
C,15.545022,28.790277,21.79,15.430947,D7,R1
E,6.989371667,,,,D10,R1
I,,7.2537525,,,D10,R1
M,,,8.263333333,,D10,R1
Z,,,,6.552948,D10,R1
C,15.7548385,22.3271625,,14.9106765,D10,R1
E,7.223632,,,,D3,R2
I,,6.285023,,,D3,R2
M,,,,,D3,R2
Z,,,,7.064478,D3,R2
C,14.9364225,22.8357925,,14.2488805,D3,R2
E,6.097295,,,,D7,R2
I,,5.162873,,,D7,R2
M,,,,,D7,R2
Z,,,,6.834374,D7,R2
C,,,,,D7,R2
E,6.773068667,,,,D10,R2
I,,4.89072,,,D10,R2
M,,,8.023333333,,D10,R2
Z,,,,8.767651667,D10,R2
C,15.844179,22.678543,,15.072987,D10,R2
E,8.363901333,,,,D3,R3
M,,,9.326666667,,D3,R3
Z,,,,7.682750333,D3,R3
C,,,22.44333333,,D3,R3
E,8.147320333,,,,D7,R3
I,,7.127132,,,D7,R3
M,,,,,D7,R3
Z,,,,8.199789333,D7,R3
C,,,,,D7,R3
E,7.642559,,,,D10,R3
I,,7.1262185,,,D10,R3
M,,,,,D10,R3
Z,,,,8.044793333,D10,R3
C,,,,,D10,R3
E,7.18113,,,,D3,R4
I,,5.922817333,,,D3,R4
M,,,9.193333333,,D3,R4
Z,,,,7.179332333,D3,R4
C,,,20.94666667,,D3,R4
E,7.100536833,,,,D7,R4
I,,5.945949333,,,D7,R4
M,,,8.926666667,,D7,R4
Z,,,,7.238801833,D7,R4
C,,,24.87,,D7,R4
E,7.837022,,,,D10,R4
I,,6.150323333,,,D10,R4
M,,,9.46,,D10,R4
Z,,,,7.643565667,D10,R4
C,,,21.07,,D10,R4
C,,,,,D3,R5
C,16.08151372,19.18559488,,15.61875852,D7,R5
C,15.78758876,17.60640971,,15.34952418,D10,R5
C,17.08189138,14.94523557,,15.03209718,D3,R5
C,17.00742499,17.49957339,,15.04817263,D7,R5
C,18.68569406,21.2618564,,16.4723409,D10,R5
M,,,7.385261536,,D3,R6
M,,,14.57280922,,D3,R6
M,,,7.449942589,,D7,R6
M,,,5.338568687,,D7,R6
M,,,6.782102585,,D10,R6
M,,,7.511254311,,D10,R6
C,,,22.64091492,,D3,R6
C,,,23.02802658,,D7,R6
C,,,24.28578234,,D10,R6
C,,,20.02885246,,D3,R6
C,,,19.44800949,,D7,R6
C,,,21.97165394,,D10,R6